"Reference","Value","Footprint","Qty"
"C1","100ÂµF","Capacitor_THT:CP_Axial_L18.0mm_D6.5mm_P25.00mm_Horizontal",""
"C2","220uF","Capacitor_THT:CP_Axial_L18.0mm_D6.5mm_P25.00mm_Horizontal",""
"C3","22uF/25V","Capacitor_THT:C_Axial_L12.0mm_D6.5mm_P20.00mm_Horizontal",""
"C4","0","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"C5","10nF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"C6,C7","100nF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"C9","220nF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"D1","1N4004","Diode_THT:D_DO-35_SOD27_P12.70mm_Horizontal",""
"D2,D3,D4,D5,D6,D7,D11","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D8","RED-LED","LED_THT:LED_D5.0mm",""
"D9","GREEN-LED","LED_THT:LED_D5.0mm",""
"D10","SCHOTTKY","Diode_THT:D_DO-35_SOD27_P12.70mm_Horizontal",""
"D12","YELLOW-LED","LED_THT:LED_D5.0mm",""
"J1","DB9-FEMAL","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm",""
"L1","22uH","Inductor_THT:L_Radial_D7.8mm_P5.00mm_Fastron_07HCP",""
"P1","CONN_2","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree",""
"P2","SUPP28","Package_DIP:DIP-28_W7.62mm_Socket_LongPads",""
"P3","SUPP40","footprints:40tex-Ell600",""
"Q1","BC237","Package_TO_SOT_THT:TO-92",""
"Q2,Q3","BC307","Package_TO_SOT_THT:TO-92",""
"R1,R2,R3,R4,R5,R6,R7","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R8,RV1","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,footprints:RV2X4",""
"R9,R19,R20","2.2K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R10","5,1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R11,R17","22K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R12,R13,R14,R21","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R15","6.2K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R16","62K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R18","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"U1","24Cxx","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
"U2","74HC125","Package_DIP:DIP-14_W7.62mm_LongPads",""
"U3","7805","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
"U4","LT1373","Package_DIP:DIP-8_W7.62mm_LongPads",""
"U5","PIC_18_PINS","Package_DIP:DIP-18_W7.62mm_Socket_LongPads",""
"U6","PIC_8_PINS","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""
